Match_ID,Unique_Team_ID
1,26
1,46
2,26
2,42
3,26
3,44
4,29
4,44
5,29
5,49
6,29
6,35
7,21
7,29
8,29
8,30
9,26
9,29
10,29
10,33
11,24
11,29
12,29
12,48
13,29
13,46
14,29
14,31
15,29
15,32
16,25
16,29
17,29
17,34
18,15
18,29
19,27
19,29
20,29
20,42
21,3
21,28
22,1
22,3
23,3
23,6
24,3
24,11
25,3
25,12
26,3
26,17
27,2
27,3
28,3
28,5
29,3
29,16
30,3
30,13
31,3
31,10
32,3
32,18
33,3
33,14
34,3
34,7
35,3
35,9
36,3
36,8
37,3
37,22
38,7
38,22
39,2
39,22
40,16
40,22
41,6
41,22
42,3
42,22
43,5
43,22
44,22
44,28
45,18
45,22
46,17
46,22
47,11
47,22
48,12
48,22
49,1
49,22
50,9
50,22
51,8
51,22
52,14
52,22
53,13
53,22
54,10
54,22
55,5
55,8
56,5
56,6
57,1
57,5
58,5
58,16
59,5
59,22
60,5
60,10
61,5
61,13
62,5
62,11
63,5
63,17
64,5
64,12
65,5
65,28
66,5
66,14
67,2
67,5
68,5
68,7
69,3
69,5
70,5
70,9
71,5
71,18
72,17
72,18
73,10
73,17
74,9
74,17
75,12
75,17
76,2
76,17
77,13
77,17
78,1
78,17
79,5
79,17
80,17
80,28
81,7
81,17
82,14
82,17
83,17
83,22
84,8
84,17
85,6
85,17
86,16
86,17
87,3
87,17
88,11
88,17
89,3
89,13
90,10
90,13
91,8
91,13
92,11
92,13
93,13
93,18
94,9
94,13
95,13
95,16
96,2
96,13
97,7
97,13
98,5
98,13
99,13
99,17
100,1
100,13
101,6
101,13
102,12
102,13
103,13
103,22
104,13
104,28
105,13
105,14
106,14
106,28
107,8
107,28
108,13
108,28
109,3
109,28
110,10
110,28
111,5
111,28
112,17
112,28
113,12
113,28
114,22
114,28
115,2
115,28
116,11
116,28
117,7
117,28
118,9
118,28
119,18
119,28
120,1
120,28
121,16
121,28
122,6
122,28
123,5
123,18
124,2
124,18
125,6
125,18
126,18
126,22
127,9
127,18
128,1
128,18
129,14
129,18
130,13
130,18
131,18
131,28
132,3
132,18
133,17
133,18
134,8
134,18
135,11
135,18
136,12
136,18
137,7
137,18
138,10
138,18
139,16
139,18
140,33
140,35
141,33
141,46
142,24
142,33
143,15
143,33
144,33
144,34
145,26
145,33
146,21
146,33
147,33
147,48
148,27
148,33
149,33
149,44
150,29
150,33
151,25
151,33
152,30
152,33
153,32
153,33
154,31
154,33
155,33
155,42
156,33
156,49
157,3
157,10
158,10
158,28
159,7
159,10
160,8
160,10
161,2
161,10
162,10
162,11
163,10
163,22
164,10
164,12
165,10
165,16
166,10
166,13
167,1
167,10
168,5
168,10
169,10
169,18
170,9
170,10
171,6
171,10
172,10
172,14
173,10
173,17
174,11
174,13
175,11
175,16
176,11
176,18
177,11
177,22
178,6
178,11
179,5
179,11
180,3
180,11
181,9
181,11
182,8
182,11
183,11
183,17
184,10
184,11
185,1
185,11
186,7
186,11
187,11
187,28
188,11
188,12
189,11
189,14
190,2
190,11
191,42
191,48
192,30
192,42
193,24
193,42
194,29
194,42
195,31
195,42
196,42
196,44
197,33
197,42
198,26
198,42
199,25
199,42
200,15
200,42
201,21
201,42
202,42
202,46
203,32
203,42
204,42
204,49
205,34
205,42
206,27
206,42
207,35
207,42
208,27
208,46
209,27
209,35
210,15
210,27
211,27
211,34
212,25
212,27
213,27
213,44
214,27
214,31
215,27
215,49
216,27
216,29
217,27
217,30
218,24
218,27
219,27
219,32
220,27
220,48
221,27
221,42
222,21
222,27
223,26
223,27
224,27
224,33
225,7
225,12
226,7
226,28
227,2
227,7
228,5
228,7
229,7
229,11
230,3
230,7
231,7
231,9
232,7
232,17
233,7
233,10
234,6
234,7
235,7
235,8
236,7
236,14
237,7
237,22
238,7
238,13
239,7
239,16
240,1
240,7
241,7
241,18
242,1
242,6
243,6
243,9
244,2
244,6
245,6
245,28
246,6
246,7
247,6
247,11
248,6
248,17
249,6
249,22
250,6
250,12
251,6
251,16
252,6
252,18
253,5
253,6
254,6
254,13
255,3
255,6
256,6
256,10
257,6
257,14
258,6
258,8
259,30
259,44
260,30
260,33
261,21
261,30
262,25
262,30
263,26
263,30
264,30
264,46
265,30
265,34
266,29
266,30
267,30
267,42
268,30
268,32
269,30
269,35
270,15
270,30
271,24
271,30
272,27
272,30
273,30
273,48
274,30
274,31
275,30
275,49
276,31
276,44
277,27
277,31
278,24
278,31
279,31
279,42
280,21
280,31
281,31
281,35
282,31
282,49
283,31
283,46
284,15
284,31
285,31
285,33
286,30
286,31
287,25
287,31
288,31
288,32
289,29
289,31
290,31
290,34
291,31
291,48
292,26
292,31
293,24
293,29
294,24
294,25
295,24
295,46
296,15
296,24
297,24
297,34
298,24
298,32
299,21
299,24
300,24
300,35
301,24
301,49
302,24
302,33
303,24
303,30
304,24
304,44
305,24
305,31
306,24
306,26
307,24
307,42
308,24
308,48
309,24
309,27
310,33
310,46
311,32
311,46
312,46
312,48
313,25
313,46
314,31
314,46
315,15
315,46
316,29
316,46
317,42
317,46
318,35
318,46
319,46
319,49
320,27
320,46
321,30
321,46
322,24
322,46
323,44
323,46
324,21
324,46
325,34
325,46
326,26
326,46
327,32
327,34
328,34
328,42
329,15
329,34
330,30
330,34
331,34
331,35
332,34
332,48
333,29
333,34
334,24
334,34
335,26
335,34
336,33
336,34
337,21
337,34
338,27
338,34
339,31
339,34
340,25
340,34
341,34
341,49
342,34
342,44
343,34
343,46
344,29
344,49
345,34
345,49
346,32
346,49
347,30
347,49
348,26
348,49
349,42
349,49
350,46
350,49
351,35
351,49
352,44
352,49
353,21
353,49
354,27
354,49
355,33
355,49
356,25
356,49
357,15
357,49
358,24
358,49
359,31
359,49
360,48
360,49
361,15
361,35
362,35
362,48
363,31
363,35
364,35
364,44
365,35
365,46
366,25
366,35
367,27
367,35
368,26
368,35
369,24
369,35
370,34
370,35
371,21
371,35
372,32
372,35
373,35
373,42
374,29
374,35
375,30
375,35
376,35
376,49
377,33
377,35
378,21
378,30
379,21
379,35
380,21
380,24
381,21
381,44
382,21
382,26
383,21
383,29
384,21
384,42
385,21
385,46
386,21
386,27
387,21
387,33
388,21
388,34
389,21
389,32
390,15
390,21
391,21
391,25
392,21
392,49
393,21
393,31
394,21
394,48
395,15
395,21
396,15
396,44
397,15
397,29
398,15
398,32
399,15
399,48
400,15
400,34
401,15
401,31
402,15
402,26
403,15
403,33
404,15
404,24
405,15
405,25
406,15
406,49
407,15
407,35
408,15
408,27
409,15
409,46
410,15
410,42
411,15
411,30
412,29
412,48
413,48
413,49
414,25
414,48
415,32
415,48
416,34
416,48
417,31
417,48
418,33
418,48
419,35
419,48
420,30
420,48
421,26
421,48
422,24
422,48
423,44
423,48
424,46
424,48
425,21
425,48
426,27
426,48
427,15
427,48
428,42
428,48
429,1
429,9
430,5
430,9
431,9
431,28
432,6
432,9
433,9
433,13
434,9
434,16
435,7
435,9
436,9
436,17
437,3
437,9
438,9
438,14
439,9
439,10
440,9
440,22
441,9
441,18
442,9
442,11
443,8
443,9
444,2
444,9
445,9
445,12
446,44
446,46
447,25
447,44
448,30
448,44
449,32
449,44
450,15
450,44
451,21
451,44
452,24
452,44
453,27
453,44
454,34
454,44
455,35
455,44
456,26
456,44
457,31
457,44
458,42
458,44
459,29
459,44
460,44
460,48
461,44
461,49
462,33
462,44
463,25
463,34
464,25
464,42
465,25
465,31
466,25
466,33
467,25
467,27
468,25
468,32
469,25
469,35
470,25
470,26
471,25
471,44
472,25
472,30
473,15
473,25
474,25
474,48
475,24
475,25
476,25
476,49
477,25
477,29
478,21
478,25
479,25
479,46
480,1
480,9
481,1
481,7
482,1
482,17
483,1
483,14
484,1
484,26
485,1
485,18
486,1
486,5
487,1
487,6
488,1
488,2
489,1
489,13
490,1
490,8
491,1
491,12
492,1
492,16
493,1
493,27
494,1
494,11
495,1
495,22
496,1
496,3
497,1
497,2
498,2
498,13
499,2
499,18
500,2
500,22
501,2
501,8
502,2
502,12
503,2
503,27
504,2
504,5
505,2
505,11
506,2
506,7
507,2
507,17
508,2
508,14
509,2
509,16
510,2
510,3
511,2
511,6
512,2
512,9
513,2
513,26
514,32
514,44
515,32
515,34
516,15
516,32
517,30
517,32
518,32
518,47
519,29
519,32
520,10
520,32
521,32
521,46
522,32
522,42
523,32
523,35
524,32
524,39
525,19
525,32
526,21
526,32
527,31
527,32
528,25
528,32
529,24
529,32
530,28
530,32
531,8
531,14
532,6
532,14
533,14
533,18
534,14
534,16
535,12
535,14
536,14
536,26
537,11
537,14
538,3
538,14
539,14
539,17
540,14
540,27
541,14
541,22
542,13
542,14
543,9
543,14
544,7
544,14
545,1
545,14
546,5
546,14
547,2
547,14
548,8
548,27
549,8
549,12
550,8
550,11
551,8
551,16
552,5
552,8
553,8
553,14
554,2
554,8
555,3
555,8
556,8
556,22
557,7
557,8
558,1
558,8
559,8
559,9
560,8
560,13
561,8
561,26
562,6
562,8
563,8
563,18
564,8
564,17
565,9
565,16
566,1
566,16
567,11
567,16
568,3
568,16
569,12
569,16
570,16
570,17
571,16
571,18
572,2
572,16
573,5
573,16
574,16
574,26
575,6
575,16
576,13
576,16
577,8
577,16
578,16
578,22
579,14
579,16
580,16
580,27
581,7
